Baneling;  					minerals = 50;  vespen = 25
BanelingBurrowed;  			minerals = 50;  vespen = 25
BanelingCocoon;				minerals = 50;  vespen = 25
BanelingNest;  				minerals = 150; vespen = 50
BroodLord;  				minerals = 300; vespen = 250
BroodLordCocoon;	 		minerals = 300; vespen = 250
BroodlingEscort;	 		minerals = 0;   vespen = 0
Changeling;					minerals = 0;   vespen = 0
ChangelingMarine;  			minerals = 0;   vespen = 0
ChangelingMarineShield;		minerals = 0;   vespen = 0
ChangelingZealot;  			minerals = 0;   vespen = 0
ChangelingZergling;			minerals = 0;   vespen = 0
ChangelingZerglingWings;	minerals = 0;   vespen = 0
Corruptor;  				minerals = 150; vespen = 100
CreepTumor;					minerals = 0;   vespen = 0
CreepTumorBurrowed;			minerals = 0;   vespen = 0
CreepTumorQueen;	 		minerals = 0;   vespen = 0
Drone;  					minerals = 50;  vespen = 0
DroneBurrowed;  			minerals = 50;  vespen = 0
Egg;	 					minerals = 0;   vespen = 0
EvolutionChamber;  			minerals = 125; vespen = 0
Extractor;  				minerals = 75;  vespen = 0
GreaterSpire;  				minerals = 350; vespen = 350
Hatchery;  					minerals = 350; vespen = 0 Minerals includes the cost of a Drone.
Hive;  						minerals = 700; vespen = 250
Hydralisk; 					minerals = 100; vespen = 50
HydraliskBurrowed; 			minerals = 100; vespen = 50
HydraliskDen;  				minerals = 150; vespen = 100
InfestationPit;				minerals = 150; vespen = 100
Infestor;  					minerals = 100; vespen = 150
InfestorBurrowed;  			minerals = 100; vespen = 150
InfestorTerran;				minerals = 0;   vespen = 0
InfestorTerranBurrowed;		minerals = 0;   vespen = 0
Lair;  						minerals = 500; vespen = 100  Minerals includes cost of a Hatchery.
Larva;  					minerals = 0;   vespen = 0
Mutalisk;  					minerals = 100; vespen = 100
NydusCanal;					minerals = 50;  vespen = 50
NydusNetwork;  				minerals = 200; vespen = 150
Overlord;  					minerals = 100; vespen = 0
OverlordCocoon;				minerals = 150; vespen = 100
Overseer;  					minerals = 150; vespen = 50
Queen;  					minerals = 150; vespen = 0
QueenBurrowed;  			minerals = 150; vespen = 0
Roach;  					minerals = 75;  vespen = 25
RoachBurrowed;  			minerals = 75;  vespen = 25
RoachWarren;	 			minerals = 200; vespen = 0
SpawningPool; 				minerals = 250; vespen = 0
SpineCrawler;  				minerals = 150; vespen = 0
SpineCrawlerUprooted;  		minerals = 150; vespen = 0
Spire;  					minerals = 250; vespen = 200
SporeCrawler;  				minerals = 125; vespen = 0
SporeCrawlerUprooted;  		minerals = 125; vespen = 0
Ultralisk;  				minerals = 300; vespen = 200
UltraliskBurrowed;  		minerals = 300; vespen = 200
UltraliskCavern;	 		minerals = 200; vespen = 200
Zergling;  					minerals = 25;  vespen = 0
ZerglingBurrowed;  			minerals = 25;  vespen = 0
